driver_id,total_incidents,vehicle_damage,cargo_damage,preventable_incidents,total_damage
DRV00058,7,102013.22,15568.53,3,117581.75
DRV00003,6,42095.75,6604.51,2,48700.26
DRV00012,3,19968.99,84932.55,2,104901.54000000001
DRV00006,3,34954.92,14284.24,1,49239.159999999996
DRV00070,3,18964.84,42214.25,3,61179.09
DRV00098,3,0.0,49744.07,3,49744.07
DRV00101,3,30491.43,31507.48,2,61998.91
DRV00066,3,0.0,0.0,2,0.0
DRV00050,3,11269.86,0.0,1,11269.86
DRV00053,3,26769.57,7470.49,0,34240.06
DRV00047,3,36759.32,0.0,1,36759.32
DRV00018,3,27601.84,408.98,1,28010.82
DRV00144,3,48692.97,0.0,1,48692.97
DRV00121,3,6982.35,4607.3,0,11589.650000000001
DRV00104,3,26679.13,2259.73,3,28938.86
DRV00132,3,23148.77,33901.9,1,57050.67
DRV00119,3,48375.58,0.0,2,48375.58
DRV00100,3,38814.69,43317.06,0,82131.75
DRV00041,2,30455.57,0.0,1,30455.57
DRV00043,2,26125.46,0.0,1,26125.46
DRV00013,2,3391.18,54804.94,2,58196.12
DRV00004,2,10006.92,0.0,0,10006.92
DRV00005,2,6524.27,0.0,0,6524.27
DRV00011,2,40207.43,8080.5,1,48287.93
DRV00044,2,28609.07,0.0,0,28609.07
DRV00038,2,18303.46,20745.08,0,39048.54
DRV00019,2,8525.66,0.0,0,8525.66
DRV00002,2,22117.89,33681.19,1,55799.08
DRV00149,2,23296.79,0.0,0,23296.79
DRV00142,2,24261.8,88444.2,1,112706.0
DRV00103,2,16514.69,4379.68,0,20894.37
DRV00112,2,24566.39,0.0,1,24566.39
DRV00134,2,23569.14,0.0,1,23569.14
DRV00127,2,24939.699999999997,0.0,1,24939.699999999997
DRV00124,2,41150.33,0.0,1,41150.33
DRV00126,2,24841.42,5605.52,1,30446.94
DRV00102,2,18614.97,0.0,1,18614.97
DRV00122,2,21025.27,9329.09,1,30354.36
DRV00113,2,19385.57,0.0,0,19385.57
DRV00090,2,36115.94,0.0,1,36115.94
DRV00060,2,21334.55,0.0,0,21334.55
DRV00033,2,21803.47,8606.98,2,30410.45
DRV00088,2,25893.34,0.0,0,25893.34
DRV00057,2,4768.18,0.0,0,4768.18
DRV00092,2,21112.58,0.0,1,21112.58
DRV00099,2,22479.73,0.0,1,22479.73
DRV00094,2,28429.949999999997,60483.649999999994,0,88913.59999999999
DRV00095,2,11464.33,0.0,1,11464.33
DRV00147,2,8811.67,41316.05,1,50127.72
DRV00056,2,0.0,18410.14,0,18410.14
DRV00054,2,24239.68,0.0,1,24239.68
DRV00051,2,6165.620000000001,0.0,0,6165.620000000001
DRV00017,1,6121.59,24601.04,0,30722.63
DRV00014,1,14994.22,49251.5,0,64245.72
DRV00015,1,0.0,0.0,0,0.0
DRV00016,1,19126.05,0.0,0,19126.05
DRV00001,1,22667.73,0.0,0,22667.73
DRV00028,1,0.0,0.0,0,0.0
DRV00029,1,0.0,0.0,0,0.0
DRV00030,1,16566.78,0.0,0,16566.78
DRV00045,1,3783.54,0.0,0,3783.54
DRV00037,1,0.0,0.0,0,0.0
DRV00036,1,10368.65,3080.69,1,13449.34
DRV00020,1,0.0,0.0,0,0.0
DRV00023,1,5214.81,0.0,1,5214.81
DRV00081,1,15640.06,28390.39,0,44030.45
DRV00074,1,17565.57,0.0,0,17565.57
DRV00071,1,9874.61,214.41,0,10089.02
DRV00062,1,3931.12,40113.96,0,44045.08
DRV00064,1,0.0,0.0,0,0.0
DRV00055,1,4569.66,45853.75,0,50423.41
DRV00061,1,20190.09,0.0,0,20190.09
DRV00082,1,0.0,0.0,1,0.0
DRV00089,1,15019.37,0.0,1,15019.37
DRV00065,1,0.0,0.0,1,0.0
DRV00069,1,21722.31,0.0,0,21722.31
DRV00079,1,3082.44,0.0,0,3082.44
DRV00118,1,19578.75,18583.37,0,38162.119999999995
DRV00108,1,0.0,0.0,1,0.0
DRV00109,1,12589.05,28315.16,1,40904.21
DRV00105,1,0.0,0.0,1,0.0
DRV00107,1,12833.93,0.0,1,12833.93
DRV00129,1,14995.98,0.0,0,14995.98
DRV00128,1,19633.39,0.0,0,19633.39
DRV00141,1,7737.05,0.0,1,7737.05
DRV00139,1,23060.0,19477.23,1,42537.229999999996
DRV00138,1,14119.63,0.0,1,14119.63
DRV00133,1,14951.4,0.0,0,14951.4
DRV00145,1,0.0,0.0,1,0.0
DRV00143,1,2103.69,37531.43,0,39635.12
DRV00146,1,18884.39,29755.82,0,48640.21
DRV00150,1,0.0,33733.85,0,33733.85
