truck_id,maintenance_count,total_labor_hours,total_parts_cost,total_maintenance_cost,total_downtime_hours,cost_per_maintenance
TRK00003,41,176.2,71573.48,90161.42,1133.1,1745.6946341463413
TRK00073,39,153.2,60460.46,76573.99,996.3,1550.2682051282052
TRK00044,38,167.9,51821.95,69825.23,1080.4,1363.7355263157895
TRK00118,35,154.2,55190.24,71005.77,917.3,1576.864
TRK00013,34,137.2,43500.1,57951.159999999996,868.5,1279.4147058823528
TRK00099,34,143.0,58017.72,73231.77,743.7,1706.4035294117648
TRK00014,34,169.9,53346.77,71801.82,940.4,1569.0226470588234
TRK00005,33,153.8,49682.45,66088.45,750.6,1505.5287878787879
TRK00081,32,142.1,59035.73,73892.72,711.7,1844.8665625
TRK00026,32,142.8,56350.42,70708.48,787.9,1760.950625
TRK00033,32,126.6,54171.88,67514.43000000001,908.2,1692.87125
TRK00062,31,110.0,47405.9,59646.64,862.1,1529.2225806451613
TRK00032,31,122.4,56170.78,68762.34,814.3000000000001,1811.9606451612904
TRK00052,31,108.7,52594.200000000004,63757.21,737.3,1696.5870967741937
TRK00038,31,121.4,56269.66,68989.14,796.4,1815.1503225806453
TRK00034,31,132.0,39436.16,52843.72,710.8,1272.1341935483872
TRK00115,31,135.7,38268.87,52635.71,767.9,1234.4796774193549
TRK00071,31,121.4,49145.25,61696.55,761.5,1585.3306451612902
TRK00075,30,147.0,55526.29,71073.64,751.9,1850.8763333333334
TRK00054,30,93.5,44663.14,54702.23,681.4,1488.7713333333334
TRK00108,30,126.0,37042.87,49829.9,750.3,1234.7623333333333
TRK00072,30,117.7,37533.47,50103.7,700.6,1251.1156666666668
TRK00085,30,144.2,33947.55,48812.659999999996,791.2,1131.585
TRK00105,30,116.6,31379.52,43254.14,805.8,1045.984
TRK00050,29,116.3,44120.65,55990.68,687.7,1521.401724137931
TRK00103,29,117.7,42426.77,54986.22,747.2,1462.992068965517
TRK00067,29,115.9,32779.62,45375.28,757.6,1130.3317241379311
TRK00078,29,133.4,35344.25,48928.87,839.6,1218.7672413793102
TRK00046,29,119.9,45185.28,57517.48,974.5,1558.1131034482758
TRK00055,29,130.3,46637.99,60433.32,689.5,1608.2065517241379
TRK00111,28,115.0,44009.8,56532.69,615.3,1571.7785714285715
TRK00030,28,114.7,40667.78,53327.96,679.5,1452.4207142857142
TRK00002,27,126.0,41703.15,54869.04,665.3,1544.5611111111111
TRK00020,27,103.3,46520.71,56990.95,711.8,1722.9892592592591
TRK00053,27,117.3,37693.34,50297.23,635.0,1396.0496296296294
TRK00090,27,88.6,44561.06,53850.82,563.3,1650.4096296296295
TRK00063,27,130.1,32726.42,46669.04,674.8,1212.0896296296296
TRK00106,27,127.7,44177.86,57457.909999999996,719.7,1636.217037037037
TRK00088,26,117.8,54299.01,66959.88,707.5,2088.4234615384617
TRK00091,26,111.5,47767.86,59491.03,595.3,1837.2253846153847
TRK00120,26,89.5,39980.88,49438.39,732.7,1537.7261538461537
TRK00112,26,108.4,43420.93,55381.53,635.9,1670.0357692307693
TRK00110,26,110.6,30192.39,41633.69,634.7,1161.2457692307692
TRK00040,26,126.7,54435.48,67557.74,665.1,2093.6723076923076
TRK00077,26,116.2,43329.63,55767.83,681.4,1666.5242307692306
TRK00068,26,99.5,38468.58,48803.94,632.3,1479.5607692307692
