trip_id,on_time_flag,detention_minutes,driver_id,truck_id
TRIP00000001,0.5,230,DRV00117,TRK00035
TRIP00000002,0.5,129,DRV00141,TRK00108
TRIP00000003,1.0,94,DRV00032,TRK00031
TRIP00000004,0.0,192,DRV00083,TRK00105
TRIP00000005,0.5,309,DRV00044,TRK00076
TRIP00000006,0.5,22,DRV00120,TRK00062
TRIP00000007,0.5,88,DRV00055,TRK00002
TRIP00000008,0.5,177,DRV00065,TRK00035
TRIP00000009,0.5,191,DRV00129,TRK00014
TRIP00000010,0.5,389,DRV00029,TRK00116
TRIP00000011,0.5,2,DRV00132,TRK00085
TRIP00000012,0.5,30,DRV00088,TRK00039
TRIP00000013,0.0,126,DRV00070,TRK00086
TRIP00000014,0.0,124,DRV00009,TRK00052
TRIP00000015,1.0,237,DRV00071,TRK00120
TRIP00000016,0.5,30,DRV00036,TRK00054
TRIP00000017,1.0,218,DRV00094,TRK00049
TRIP00000018,0.5,170,DRV00125,TRK00080
TRIP00000019,0.5,285,DRV00142,TRK00040
TRIP00000020,0.5,103,DRV00118,TRK00010
TRIP00000021,1.0,144,DRV00066,TRK00058
TRIP00000022,0.5,302,DRV00114,TRK00078
TRIP00000023,1.0,111,DRV00117,TRK00026
TRIP00000024,0.5,237,DRV00082,TRK00001
TRIP00000025,0.5,245,DRV00053,TRK00018
TRIP00000026,0.5,104,DRV00102,TRK00076
TRIP00000027,0.5,207,DRV00050,TRK00019
TRIP00000028,0.5,94,DRV00114,TRK00111
TRIP00000029,0.5,334,DRV00139,TRK00024
TRIP00000030,0.5,192,DRV00088,TRK00076
TRIP00000031,0.5,309,DRV00036,TRK00071
TRIP00000032,0.0,206,DRV00085,TRK00069
TRIP00000033,0.5,270,DRV00083,TRK00064
TRIP00000034,1.0,59,DRV00053,TRK00054
TRIP00000035,0.5,200,DRV00113,TRK00009
TRIP00000036,1.0,273,DRV00124,TRK00038
TRIP00000037,0.5,250,DRV00018,TRK00085
TRIP00000038,0.5,197,DRV00033,TRK00089
TRIP00000039,0.5,141,DRV00112,TRK00062
TRIP00000040,0.0,139,DRV00044,TRK00001
TRIP00000041,0.5,130,DRV00124,TRK00020
TRIP00000042,0.5,166,DRV00020,TRK00089
TRIP00000043,0.5,310,DRV00026,TRK00010
TRIP00000044,1.0,198,DRV00102,TRK00079
TRIP00000045,0.5,173,DRV00117,TRK00061
TRIP00000046,0.5,321,DRV00020,TRK00007
TRIP00000047,1.0,86,DRV00023,TRK00015
TRIP00000048,0.5,67,DRV00085,TRK00058
TRIP00000049,1.0,20,DRV00089,TRK00090
TRIP00000050,0.5,133,DRV00148,TRK00050
TRIP00000051,0.5,82,DRV00134,TRK00026
TRIP00000052,0.0,59,DRV00065,TRK00004
TRIP00000053,0.5,167,DRV00148,TRK00024
TRIP00000054,1.0,65,DRV00047,TRK00063
TRIP00000055,0.5,239,DRV00085,TRK00004
TRIP00000056,1.0,96,DRV00126,TRK00015
TRIP00000057,1.0,108,DRV00001,TRK00073
TRIP00000058,1.0,211,DRV00121,TRK00030
TRIP00000059,1.0,111,DRV00108,TRK00090
TRIP00000060,1.0,217,DRV00041,TRK00054
TRIP00000061,1.0,199,DRV00114,TRK00009
TRIP00000062,0.5,319,DRV00104,TRK00002
TRIP00000063,0.5,361,DRV00079,TRK00115
TRIP00000064,0.5,256,DRV00050,TRK00043
TRIP00000065,0.5,147,DRV00003,TRK00082
TRIP00000066,0.0,133,DRV00124,TRK00050
TRIP00000067,0.5,254,,TRK00112
TRIP00000068,0.5,32,DRV00083,TRK00091
TRIP00000069,1.0,72,DRV00066,TRK00092
TRIP00000070,0.0,263,DRV00077,
TRIP00000071,1.0,10,DRV00147,TRK00013
TRIP00000072,0.5,11,DRV00092,TRK00108
TRIP00000073,0.5,371,DRV00055,TRK00025
TRIP00000074,0.5,214,DRV00051,
TRIP00000075,0.0,181,DRV00041,TRK00008
TRIP00000076,1.0,82,DRV00129,TRK00048
TRIP00000077,1.0,237,DRV00037,TRK00025
TRIP00000078,0.0,148,DRV00110,TRK00098
TRIP00000079,0.0,290,DRV00014,TRK00051
TRIP00000080,0.5,224,DRV00053,TRK00067
TRIP00000081,1.0,160,DRV00124,TRK00052
TRIP00000082,1.0,309,DRV00060,TRK00061
TRIP00000083,1.0,90,DRV00013,TRK00059
TRIP00000084,1.0,57,DRV00039,TRK00014
TRIP00000085,0.5,60,DRV00035,TRK00120
TRIP00000086,0.5,192,DRV00121,TRK00112
TRIP00000087,0.5,260,DRV00141,TRK00096
TRIP00000088,1.0,110,DRV00078,
TRIP00000089,0.5,99,DRV00110,TRK00064
TRIP00000090,0.5,248,DRV00049,TRK00072
TRIP00000091,1.0,81,DRV00033,TRK00112
TRIP00000092,0.5,263,DRV00054,TRK00050
TRIP00000093,0.5,306,DRV00020,TRK00059
TRIP00000094,0.5,83,DRV00141,TRK00033
TRIP00000095,1.0,143,DRV00060,TRK00099
TRIP00000096,0.0,0,DRV00030,TRK00090
TRIP00000097,0.5,376,DRV00150,TRK00057
TRIP00000098,0.0,357,DRV00126,TRK00097
TRIP00000099,0.0,103,DRV00033,TRK00024
TRIP00000100,0.5,144,DRV00005,TRK00095
TRIP00000101,0.5,141,DRV00002,TRK00112
TRIP00000102,0.5,226,DRV00129,TRK00063
TRIP00000103,0.0,309,DRV00109,TRK00052
TRIP00000104,0.5,206,,TRK00114
TRIP00000105,0.5,170,DRV00139,TRK00115
TRIP00000106,0.5,48,DRV00084,TRK00026
TRIP00000107,1.0,268,DRV00124,TRK00011
TRIP00000108,0.5,76,DRV00111,TRK00069
TRIP00000109,0.5,115,DRV00071,TRK00078
TRIP00000110,0.5,157,DRV00090,TRK00067
TRIP00000111,1.0,68,DRV00075,TRK00065
TRIP00000112,0.0,69,DRV00079,TRK00071
TRIP00000113,0.0,141,DRV00036,TRK00062
TRIP00000114,0.5,170,DRV00114,TRK00030
TRIP00000115,0.5,88,DRV00141,TRK00080
