truck_id,make,model_year,status,trips_count,total_miles,total_fuel,avg_mpg,total_hours,total_revenue,cost_per_mile,miles_per_trip,revenue_per_mile,truck_age
TRK00001,Peterbilt,2016.0,Active,951,1356397,210762.2,6.486593059936909,23794.2,2896338.17,0.5438435059941891,1426.284963196635,2.135317440247951,10.0
TRK00002,Kenworth,2015.0,Active,887,1270572,197770.4,6.499278466741826,22222.8,2712361.86,0.5447911649241444,1432.4374295377677,2.1347565191110776,11.0
TRK00004,Freightliner,2015.0,Active,929,1309547,203200.2,6.499494079655543,22994.8,2803602.13,0.5430890987494149,1409.6307857911734,2.1408946223388696,11.0
TRK00006,Kenworth,2017.0,Active,878,1278551,198585.1,6.479316628701595,22289.6,2778546.55,0.5436215293719218,1456.2084282460137,2.1731996220721737,9.0
TRK00007,Volvo,2019.0,Active,922,1336736,207764.0,6.489284164859002,23244.4,2887748.17,0.5439922318243842,1449.822125813449,2.160298046884351,7.0
TRK00008,Mack,2015.0,Active,894,1296410,200996.9,6.504574944071589,22649.9,2780589.02,0.5426440323663039,1450.1230425055928,2.144837682523276,11.0
TRK00009,International,2015.0,Active,900,1310170,202798.4,6.512533333333333,22965.3,2832924.83,0.5417574818534999,1455.7444444444445,2.1622574398742147,11.0
TRK00010,Volvo,2015.0,Active,905,1278138,197782.8,6.515370165745856,22376.3,2777948.15,0.5416002027950033,1412.307182320442,2.173433658963273,11.0
TRK00011,Freightliner,2015.0,Active,927,1304183,201705.3,6.52217907227616,22863.9,2814044.12,0.5413109586614762,1406.8856526429342,2.157706487509805,11.0
TRK00012,Freightliner,2015.0,Active,920,1341215,206933.3,6.535760869565217,23416.4,2884165.82,0.5400077914428335,1457.8423913043478,2.1504127377042455,11.0
TRK00013,Volvo,2018.0,Active,885,1258508,195101.2,6.506485875706215,22007.9,2668794.49,0.5425902735620275,1422.0429378531073,2.1206019270437695,8.0
TRK00014,International,2015.0,Active,886,1240298,191531.8,6.519187358916478,21744.3,2691574.68,0.5404840610885447,1399.884875846501,2.170103217130077,11.0
TRK00015,International,2015.0,Active,961,1386604,215229.3,6.503662851196671,24207.1,2979377.79,0.543271582946537,1442.8761706555672,2.1486868565214006,11.0
TRK00016,Freightliner,2015.0,Active,929,1349432,209146.8,6.514058127018299,23719.0,2900783.35,0.5424606797526662,1452.5640473627557,2.1496328455231537,11.0
TRK00018,International,2015.0,Active,859,1194175,185295.9,6.517660069848661,20935.1,2603015.69,0.543082588397848,1390.1920838183935,2.1797606632193776,11.0
TRK00019,International,2015.0,Active,922,1340729,208408.9,6.494772234273319,23439.7,2914020.4,0.5440556219787892,1454.1529284164858,2.1734596626163825,11.0
TRK00020,Kenworth,2015.0,Active,945,1356271,210851.5,6.48631746031746,23633.0,2899114.57,0.5441244780725976,1435.2074074074073,2.1375628985652573,11.0
TRK00023,Peterbilt,2015.0,Active,904,1315533,203746.5,6.508860619469027,22981.1,2831435.86,0.5420713505476488,1455.2356194690265,2.1523107820176306,11.0
TRK00024,Volvo,2015.0,Active,941,1362333,211068.8,6.495568544102019,23803.7,2938674.7,0.5422615469198793,1447.750265674814,2.1570898598213506,11.0
TRK00025,Freightliner,2018.0,Active,963,1370297,212694.2,6.489730010384216,23988.6,2942525.23,0.5432615703019127,1422.9460020768431,2.147363111792553,8.0
TRK00026,International,2021.0,Active,895,1252565,195070.6,6.472581005586592,21897.8,2712784.82,0.5450791775277131,1399.513966480447,2.1657836679134417,5.0
TRK00029,International,2016.0,Active,877,1272712,197679.0,6.496716077537058,22197.9,2719155.25,0.5436237734852818,1451.2109464082098,2.1365047630571565,10.0
TRK00030,Volvo,2015.0,Active,894,1296417,201229.5,6.486096196868009,22628.1,2777367.79,0.5432690638891653,1450.1308724832215,2.1423413839837027,11.0
TRK00031,Kenworth,2018.0,Active,941,1331252,206900.9,6.485887353878852,23229.9,2903626.97,0.5439639902888409,1414.720510095643,2.18112496356813,8.0
TRK00033,Mack,2015.0,Active,908,1274427,198007.3,6.504196035242291,22296.4,2738265.04,0.5437938383289117,1403.5539647577093,2.1486244720176204,11.0
TRK00035,International,2015.0,Active,932,1343802,208507.7,6.497950643776824,23566.7,2926212.82,0.5430688077559046,1441.8476394849786,2.177562483163442,11.0
TRK00036,Peterbilt,2020.0,Active,867,1205829,186393.3,6.51847750865052,21001.8,2581289.59,0.5410191246022445,1390.8062283737024,2.1406763230939045,6.0
TRK00038,International,2015.0,Active,908,1262396,195956.5,6.5045264317180616,22058.9,2751437.74,0.5432904968013207,1390.3039647577093,2.179536167731837,11.0
TRK00039,International,2015.0,Active,966,1366732,211980.5,6.513995859213251,23883.4,2904283.89,0.5428509393209495,1414.8364389233955,2.124984188560742,11.0
TRK00040,International,2015.0,Active,860,1178515,182298.5,6.507697674418605,20518.8,2553800.68,0.5413972244731717,1370.3662790697674,2.166964934684752,11.0
TRK00041,International,2015.0,Active,965,1404001,217220.8,6.504466321243524,24687.5,3017320.99,0.5415044576179077,1454.9233160621761,2.1490874935274262,11.0
TRK00043,Freightliner,2019.0,Active,919,1321161,204180.9,6.51620239390642,23109.7,2844190.8,0.5409129924361982,1437.60718171926,2.152796517608376,7.0
TRK00044,Volvo,2015.0,Active,971,1403922,217625.7,6.499649845520082,24521.2,3045707.57,0.5425443507545291,1445.8516992790937,2.1694279098126534,11.0
TRK00045,Volvo,2015.0,Active,854,1242378,192971.1,6.49192037470726,21825.6,2654185.46,0.5436339423267315,1454.7751756440282,2.1363751289865083,11.0
TRK00048,Volvo,2015.0,Active,946,1350738,209940.8,6.489830866807611,23628.9,2915241.12,0.5439935798060023,1427.8414376321352,2.158258018949641,11.0
TRK00049,Peterbilt,2015.0,Active,912,1268102,196067.1,6.517543859649122,22158.5,2701436.34,0.541151145570309,1390.4627192982457,2.130298934943719,11.0
TRK00050,Peterbilt,2015.0,Active,956,1338947,208269.7,6.488514644351465,23580.7,2907686.62,0.5444158357276279,1400.5721757322176,2.1716218939211185,11.0
TRK00051,Mack,2016.0,Active,912,1312973,202737.4,6.529890350877193,23022.3,2795182.65,0.5404383029963297,1439.6633771929824,2.1288957579478023,10.0
TRK00052,Freightliner,2015.0,Active,891,1241107,192093.0,6.5190235690235685,21638.9,2716175.17,0.5417143727333743,1392.9371492704827,2.1885100720566397,11.0
TRK00053,Peterbilt,2015.0,Active,964,1378108,214646.5,6.475570539419087,24073.9,2990269.38,0.545140692891994,1429.5726141078837,2.1698367471925275,11.0
TRK00054,Freightliner,2016.0,Active,897,1331076,205551.9,6.498762541806021,23309.5,2868937.75,0.5404887850130271,1483.9197324414715,2.1553523239845056,10.0
TRK00055,Peterbilt,2017.0,Active,977,1417530,221046.2,6.473019447287616,24629.3,2997124.44,0.5457815354877852,1450.9007164790173,2.1143287549469854,9.0
TRK00057,Mack,2015.0,Active,951,1377066,211494.2,6.543501577287066,24008.3,2933620.12,0.5375411926516231,1448.018927444795,2.1303409713114694,11.0
TRK00058,Mack,2015.0,Active,898,1299089,202170.2,6.474198218262806,22758.9,2809911.6,0.5446860838633844,1446.6469933184856,2.1629862157250197,11.0
TRK00059,Mack,2015.0,Active,860,1216720,187297.7,6.559430232558139,21301.4,2595479.77,0.5387779850746269,1414.7906976744187,2.133177534683411,11.0
TRK00060,Freightliner,2015.0,Active,846,1211398,188012.7,6.494657210401891,21250.3,2596807.61,0.5432107779606703,1431.9125295508275,2.143645284208823,11.0
TRK00061,International,2018.0,Active,904,1268152,196713.7,6.509225663716815,22260.7,2705671.65,0.5429143746175538,1402.8230088495575,2.1335546921820097,8.0
TRK00062,Mack,2017.0,Active,909,1273747,197506.8,6.505313531353135,22255.7,2741939.16,0.5427088738972495,1401.2618261826183,2.152656029808117,9.0
TRK00063,Peterbilt,2015.0,Active,869,1229384,191116.2,6.488952819332566,21456.4,2625773.77,0.5440990772614578,1414.711162255466,2.135845081764526,11.0
TRK00064,Kenworth,2020.0,Active,918,1296870,200396.9,6.524607843137255,22553.0,2791628.59,0.5408322730882819,1412.7124183006536,2.1525893805855634,6.0
TRK00065,Freightliner,2015.0,Active,924,1307946,203360.2,6.4868722943722945,22900.1,2798480.13,0.5441820228052229,1415.525974025974,2.139599134826667,11.0
TRK00067,International,2015.0,Active,908,1312608,203879.4,6.493678414096917,23024.1,2847869.8,0.5436336667154246,1445.603524229075,2.169627032594651,11.0
TRK00068,Peterbilt,2020.0,Active,899,1286649,200273.9,6.474449388209121,22466.2,2794211.79,0.5447939958761092,1431.2002224694104,2.1716970129382607,6.0
TRK00069,Mack,2016.0,Active,935,1318110,204240.8,6.515411764705882,23073.8,2843417.74,0.5423240852432649,1409.7433155080214,2.1571930567251596,10.0
TRK00070,Kenworth,2015.0,Active,943,1319519,204300.9,6.511240721102864,23101.6,2800116.98,0.541904398496725,1399.2778366914104,2.1220740133336466,11.0
TRK00071,Mack,2017.0,Active,911,1269268,196791.4,6.504588364434688,22234.9,2741932.0,0.5426512761686263,1393.2689352360044,2.160246693369722,9.0
TRK00072,Volvo,2017.0,Active,881,1284159,200631.9,6.454097616345063,22446.7,2764998.09,0.5468260939649997,1457.6152099886492,2.153158674276316,9.0
TRK00073,Mack,2016.0,Active,935,1338563,207182.2,6.503101604278075,23421.4,2872595.75,0.5417284804674865,1431.6181818181817,2.1460295481049454,10.0
TRK00074,Volvo,2015.0,Active,881,1298052,200848.3,6.5119750283768445,22741.7,2763786.76,0.5415569253003731,1473.3847900113508,2.1291803101878815,11.0
TRK00076,Kenworth,2015.0,Active,908,1280075,198370.4,6.506685022026431,22395.7,2747737.75,0.5423872819951956,1409.77422907489,2.146544343104896,11.0
TRK00078,Freightliner,2015.0,Active,895,1296265,202097.1,6.467027932960893,22708.5,2791372.5,0.5456753441618805,1448.340782122905,2.1533964891438093,11.0
TRK00079,Mack,2015.0,Active,831,1195812,184979.8,6.514981949458484,20877.4,2532045.68,0.5414139513569022,1439.0036101083033,2.1174278900027765,11.0
TRK00080,Volvo,2015.0,Active,895,1268474,196097.8,6.512636871508381,22153.3,2714300.83,0.5410771525470762,1417.2893854748604,2.139815896896586,11.0
TRK00082,Peterbilt,2015.0,Active,924,1324616,205834.3,6.49685064935065,23129.6,2821632.9899999998,0.5438708652167873,1433.5670995670996,2.1301516741455635,11.0
