truck_id,make,trips,total_miles,total_fuel,avg_mpg,calculated_mpg,fuel_cost,cost_per_mile
TRK00001,Peterbilt,951,1356397,210762.2,6.486593059936909,6.435674898060467,737667.7000000001,0.5438435059941891
TRK00002,Kenworth,887,1270572,197770.4,6.499278466741826,6.42448010420164,692196.4,0.5447911649241444
TRK00004,Freightliner,929,1309547,203200.2,6.499494079655543,6.444614719867402,711200.7000000001,0.5430890987494149
TRK00006,Kenworth,878,1278551,198585.1,6.479316628701595,6.438302772967357,695047.85,0.5436215293719218
TRK00007,Volvo,922,1336736,207764.0,6.489284164859002,6.433915404016095,727174.0,0.5439922318243842
TRK00008,Mack,894,1296410,200996.9,6.504574944071589,6.4499004711017935,703489.15,0.5426440323663039
TRK00009,International,900,1310170,202798.4,6.512533333333333,6.460455309312105,709794.4,0.5417574818534999
TRK00010,Volvo,905,1278138,197782.8,6.515370165745856,6.4623314059665455,692239.7999999999,0.5416002027950033
TRK00011,Freightliner,927,1304183,201705.3,6.52217907227616,6.465784488558308,705968.5499999999,0.5413109586614762
TRK00012,Freightliner,920,1341215,206933.3,6.535760869565217,6.481387964141103,724266.5499999999,0.5400077914428335
TRK00013,Volvo,885,1258508,195101.2,6.506485875706215,6.4505395148774065,682854.2000000001,0.5425902735620275
TRK00014,International,886,1240298,191531.8,6.519187358916478,6.47567662393399,670361.2999999999,0.5404840610885447
TRK00015,International,961,1386604,215229.3,6.503662851196671,6.442449982414105,753302.5499999999,0.543271582946537
TRK00016,Freightliner,929,1349432,209146.8,6.514058127018299,6.452080548208245,732013.7999999999,0.5424606797526662
TRK00018,International,859,1194175,185295.9,6.517660069848661,6.444691976454957,648535.65,0.543082588397848
TRK00019,International,922,1340729,208408.9,6.494772234273319,6.433165762114766,729431.15,0.5440556219787892
TRK00020,Kenworth,945,1356271,210851.5,6.48631746031746,6.432351678788152,737980.25,0.5441244780725976
TRK00023,Peterbilt,904,1315533,203746.5,6.508860619469027,6.456714593870324,713112.75,0.5420713505476488
TRK00024,Volvo,941,1362333,211068.8,6.495568544102019,6.454449923437287,738740.7999999999,0.5422615469198793
TRK00025,Freightliner,963,1370297,212694.2,6.489730010384216,6.442568720726752,744429.7000000001,0.5432615703019127
