truck_id,maintenance_count,total_labor_hours,total_parts_cost,total_maintenance_cost,total_downtime_hours,cost_per_maintenance
TRK00001,24,100.0,41584.479999999996,51775.99,713.2,2157.3329166666667
TRK00002,27,126.0,41703.15,54869.04,665.3,2032.1866666666667
TRK00003,41,176.2,71573.48,90161.42,1133.1,2199.059024390244
TRK00004,22,78.1,30864.600000000002,38561.82,483.2,1752.81
TRK00005,33,153.8,49682.45,66088.45,750.6,2002.6803030303029
TRK00006,26,103.5,39833.19,50780.83,587.7,1953.1088461538461
TRK00007,20,89.1,16507.2,25868.97,415.7,1293.4485
TRK00008,19,71.2,25564.55,33024.74,483.0,1738.1442105263156
TRK00009,19,79.2,32208.78,40333.84,522.3,2122.833684210526
TRK00010,25,120.4,37828.3,50406.72,603.1,2016.2688
TRK00011,23,97.2,36255.33,46464.63,656.6,2020.201304347826
TRK00012,21,87.5,31434.72,40327.38,450.1,1920.3514285714284
TRK00013,34,137.2,43500.1,57951.159999999996,868.5,1704.445882352941
TRK00014,34,169.9,53346.77,71801.82,940.4,2111.818235294118
TRK00015,21,98.1,23418.55,33711.95,562.5,1605.3309523809523
TRK00016,18,56.800000000000004,30762.29,36448.05,437.09999999999997,2024.8916666666669
TRK00017,20,81.5,37640.03,46265.840000000004,510.0,2313.2920000000004
TRK00018,25,117.6,30578.36,42430.74,664.5,1697.2296
TRK00019,16,63.1,21975.600000000002,28662.15,337.1,1791.384375
TRK00020,27,103.3,46520.71,56990.95,711.8,2110.775925925926
TRK00021,21,92.6,29110.760000000002,38803.04,641.1,1847.7638095238096
TRK00022,26,129.8,35304.84,48894.75,592.1,1880.5673076923076
TRK00023,26,103.3,38452.69,49365.87,600.7,1898.6873076923077
TRK00024,22,84.6,34104.18,42592.229999999996,705.5,1936.0104545454544
TRK00025,23,95.9,33659.26,44082.12,570.1,1916.6139130434783
TRK00026,32,142.8,56350.42,70708.48,787.9,2209.64
TRK00027,24,91.1,34470.37,44230.56,599.3,1842.9399999999998
TRK00028,19,71.1,36091.8,43892.35,439.1,2310.1236842105263
TRK00029,23,100.8,29305.14,39776.71,540.1,1729.4221739130435
TRK00030,28,114.7,40667.78,53327.96,679.5,1904.57
TRK00031,24,119.0,38791.03,51097.4,579.5,2129.0583333333334
TRK00032,31,122.4,56170.78,68762.34,814.3000000000001,2218.14
TRK00033,32,126.6,54171.88,67514.43000000001,908.2,2109.8259375000002
TRK00034,31,132.0,39436.16,52843.72,710.8,1704.6361290322582
TRK00035,19,77.5,32787.56,40952.3,516.8,2155.384210526316
TRK00036,14,44.3,23041.03,27522.41,323.9,1965.8864285714285
TRK00037,21,83.0,32426.63,41154.92,582.6,1959.7580952380952
TRK00038,31,121.4,56269.66,68989.14,796.4,2225.456129032258
TRK00039,24,84.8,38687.46,47581.13,557.0,1982.5470833333331
TRK00040,26,126.7,54435.48,67557.74,665.1,2598.3746153846155
TRK00041,25,108.0,48803.409999999996,59685.24,524.7,2387.4096
TRK00042,23,94.5,38605.7,48687.47,496.4,2116.8465217391304
TRK00043,19,78.0,32772.75,40867.47,488.6,2150.9194736842105
TRK00044,38,167.9,51821.95,69825.23,1080.4,1837.5060526315788
TRK00045,23,82.6,36860.06,45247.090000000004,571.2,1967.264782608696
TRK00046,29,119.9,45185.28,57517.48,974.5,1983.361379310345
TRK00047,16,60.0,22025.32,28243.39,397.2,1765.211875
TRK00048,20,83.4,34534.57,43187.16,583.2,2159.358
TRK00049,16,76.9,24682.83,33245.43,339.8,2077.839375
TRK00050,29,116.3,44120.65,55990.68,687.7,1930.713103448276
TRK00051,23,102.3,38970.67,49991.87,577.3,2173.5595652173915
TRK00052,31,108.7,52594.200000000004,63757.21,737.3,2056.684193548387
TRK00053,27,117.3,37693.34,50297.23,635.0,1862.8603703703704
TRK00054,30,93.5,44663.14,54702.23,681.4,1823.4076666666667
TRK00055,29,130.3,46637.99,60433.32,689.5,2083.9075862068967
TRK00056,20,80.6,30718.81,39387.64,536.3,1969.382
TRK00057,25,113.2,45890.21,57753.94,651.2,2310.1576
TRK00058,20,78.0,37570.44,45745.44,414.9,2287.272
TRK00059,18,67.7,27273.54,34580.8,450.0,1921.1555555555558
TRK00060,26,111.7,27397.45,39199.82,641.4,1507.6853846153847
TRK00061,24,92.6,34183.04,43993.58,530.4,1833.0658333333333
TRK00062,31,110.0,47405.9,59646.64,862.1,1924.0851612903225
TRK00063,27,130.1,32726.42,46669.04,674.8,1728.482962962963
TRK00064,22,88.6,37137.89,46296.36,510.2,2104.38
TRK00065,26,110.1,45576.56,57516.6,589.8,2212.1769230769232
TRK00066,21,80.3,25153.31,33670.7,660.3,1603.3666666666666
TRK00067,29,115.9,32779.62,45375.28,757.6,1564.664827586207
TRK00068,26,99.5,38468.58,48803.94,632.3,1877.0746153846155
TRK00069,18,66.0,28213.2,35126.99,366.7,1951.4994444444444
TRK00070,15,78.0,27949.45,36142.32,307.7,2409.488
TRK00071,31,121.4,49145.25,61696.55,761.5,1990.2112903225807
TRK00072,30,117.7,37533.47,50103.7,700.6,1670.1233333333332
TRK00073,39,153.2,60460.46,76573.99,996.3,1963.4356410256412
TRK00074,16,73.6,25276.72,33044.85,459.2,2065.303125
TRK00075,30,147.0,55526.29,71073.64,751.9,2369.1213333333335
TRK00076,17,69.2,22865.96,30133.21,388.90000000000003,1772.5417647058823
TRK00077,26,116.2,43329.63,55767.83,681.4,2144.9165384615385
