route_id,trips_count,total_distance,total_fuel,avg_mpg,total_revenue,fuel_cost,estimated_operating_cost,profit,profit_margin,cost_per_mile,revenue_per_mile
RTE00001,1456,1012400,156425.5,6.527692307692307,1675362.8,547489.25,711736.025,963626.775,57.517498597915626,0.7030185944290794,1.6548427499012248
RTE00002,1481,1064169,164820.2,6.508690074274139,2154291.12,576870.7000000001,749931.9100000001,1404359.21,65.18892441983421,0.7047112911577016,2.024388156392453
RTE00003,1496,3082778,477685.9,6.5049732620320855,7621380.8,1671900.6500000001,2173470.845,5447909.955,71.48192824848746,0.7050364460236839,2.4722444496489855
RTE00004,1459,3028076,468695.3,6.5128786840301585,5418160.4,1640433.55,2132563.615,3285596.785,60.64044883204269,0.7042635703331093,1.7893079301840509
RTE00005,1479,2661627,413465.4,6.489776876267748,6236094.68,1447128.9000000001,1881267.5700000003,4354827.109999999,69.83260090592466,0.706811123421877,2.342963412980106
RTE00006,1460,1013734,157058.1,6.507150684931507,2105438.99,549703.35,714614.355,1390824.6350000002,66.05865292729285,0.7049328078174353,2.0769146442755204
RTE00007,1502,2437105,378467.7,6.491471371504661,6009333.3,1324636.95,1722028.035,4287305.265,71.34410842214393,0.7065875434172922,2.4657670884102245
RTE00008,1461,1146810,177270.5,6.520130047912389,2915299.86,620446.75,806580.775,2108719.085,72.33283662971122,0.703325550875908,2.5420949067413083
RTE00009,1477,1333633,207711.4,6.472227488151659,2528552.04,726989.9,945086.8700000001,1583465.17,62.6233965111511,0.7086558820905002,1.8959879067179652
RTE00010,1468,138291,21490.6,6.487043596730245,217573.05,75217.09999999999,97782.23,119790.81999999999,55.057747271548564,0.7070758762320035,1.5732986962275202
RTE00011,1501,844360,130988.6,6.497188540972686,1382122.12,458460.10000000003,595998.1300000001,786123.99,56.87804128335634,0.7058578449950259,1.6368872518830833
RTE00012,1507,3706749,575239.1,6.495540809555409,9757537.38,2013336.8499999999,2617337.905,7140199.4750000015,73.1762451623834,0.706100657206625,2.6323706784570526
RTE00013,1462,1011364,155948.7,6.537735978112175,1672332.07,545820.4500000001,709566.5850000001,962765.485,57.57023394283169,0.7015936744831733,1.6535412274907946
RTE00014,1487,1845717,286184.7,6.5016072629455275,3840447.09,1001646.4500000001,1302140.3850000002,2538306.7049999996,66.09404180074252,0.7054929791511918,2.080734527557583
RTE00015,1537,144882,22473.9,6.49829538061158,393428.95,78658.65000000001,102256.24500000001,291172.705,74.00896781998377,0.7057898496707666,2.715512969174915
RTE00016,1465,4118647,636514.0,6.522607508532424,10069054.22,2227799.0,2896138.7,7172915.5200000005,71.23723205057883,0.7031772084376253,2.4447480495415124
RTE00017,1473,1713978,265504.6,6.505390359809912,3013539.6,929266.0999999999,1208045.93,1805493.6700000002,59.91272422635495,0.7048199743520628,1.758213699359035
RTE00018,1456,1003605,155447.8,6.508907967032966,2023437.21,544067.2999999999,707287.49,1316149.72,65.04524644972798,0.7047468775065887,2.016168921039652
RTE00019,1443,1887612,293838.6,6.477525987525987,4272648.64,1028435.0999999999,1336965.63,2935683.01,68.7087391768306,0.7082841336037278,2.26352059639375
RTE00020,1485,3322940,517439.2,6.471750841750842,5712509.24,1811037.2,2354348.36,3358160.8800000004,58.78609099632721,0.7085136535718369,1.7191129662287012
RTE00021,1473,3196415,497566.9,6.474338085539715,7595328.46,1741484.1500000001,2263929.3950000005,5331399.0649999995,70.19313375421817,0.7082714212641351,2.376202232813949
RTE00022,1424,816443,126468.3,6.506713483146067,1542771.85,442639.05,575430.765,967341.0850000001,62.7014995768817,0.7048021294811763,1.8896259138727383
RTE00023,1398,1835111,285019.1,6.489420600858368,4154689.23,997566.8499999999,1296836.9049999998,2857852.325,68.78618752912116,0.706680361569409,2.2639988698231335
RTE00024,1497,1812278,280931.1,6.500835003340013,4373096.44,983258.8499999999,1278236.505,3094859.9350000005,70.77044783855716,0.7053203233720212,2.413038419050499
RTE00025,1450,4683089,728044.3,6.487103448275861,7523007.13,2548155.0500000003,3312601.5650000004,4210405.5649999995,55.96705535755619,0.7073539633775913,1.6064198502313323
